County,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Jefferson County, Ohio","69,035","68,538","68,168","67,876","67,495","66,944","66,318","65,774","65,325"
".Knox County, Ohio","61,283","60,764","60,858","61,000","61,001","60,909","61,271","61,900","62,322"
".Lake County, Ohio","229,988","229,564","230,075","229,857","229,836","229,525","230,159","230,102","230,149"
".Lawrence County, Ohio","62,415","62,146","61,858","61,539","60,923","60,691","60,075","59,767","59,463"
".Licking County, Ohio","167,164","167,589","168,461","169,410","170,611","171,993","173,617","175,666","176,862"
".Logan County, Ohio","45,623","45,410","45,393","45,473","45,250","45,128","45,198","45,332","45,672"
".Lorain County, Ohio","301,874","301,712","303,098","304,464","305,417","306,607","307,441","309,052","309,833"
".Lucas County, Ohio","439,359","436,753","436,156","434,585","433,633","432,879","431,039","429,612","428,348"
".Madison County, Ohio","43,114","42,991","43,256","43,980","44,139","43,377","44,041","44,389","44,731"
".Mahoning County, Ohio","237,363","235,702","234,393","233,391","231,846","230,269","229,791","229,216","228,683"
".Marion County, Ohio","66,599","66,277","65,964","65,791","65,431","65,467","65,076","65,427","65,093"
".Medina County, Ohio","173,504","173,623","174,639","175,855","176,126","176,876","178,176","178,978","179,746"
".Meigs County, Ohio","23,648","23,572","23,443","23,277","23,180","23,166","23,071","23,064","22,907"
".Mercer County, Ohio","40,715","40,705","40,615","40,730","40,723","40,715","40,858","40,952","41,172"
".Miami County, Ohio","102,734","102,934","103,213","103,856","104,075","104,553","105,200","106,042","106,987"
".Monroe County, Ohio","14,613","14,502","14,503","14,357","14,253","14,083","13,931","13,787","13,654"
".Montgomery County, Ohio","534,558","534,334","534,270","532,488","531,777","531,818","531,467","531,600","531,687"
".Morgan County, Ohio","15,036","14,930","14,894","14,730","14,735","14,733","14,644","14,581","14,508"
".Morrow County, Ohio","34,810","34,834","34,846","34,937","34,943","34,922","34,911","35,113","35,328"
".Muskingum County, Ohio","86,243","85,794","85,649","85,905","86,194","85,993","86,123","86,131","86,215"
".Noble County, Ohio","14,752","14,677","14,678","14,532","14,467","14,441","14,400","14,347","14,424"
".Ottawa County, Ohio","41,320","41,242","41,035","40,903","40,754","40,488","40,623","40,769","40,525"
".Paulding County, Ohio","19,369","19,248","19,143","18,975","18,959","18,839","18,831","18,742","18,672"
".Perry County, Ohio","36,232","35,984","36,000","35,926","35,967","35,998","35,972","36,039","36,134"
".Pickaway County, Ohio","55,948","56,237","56,355","56,704","56,989","57,545","57,740","58,077","58,457"
".Pike County, Ohio","28,479","28,371","28,272","28,181","28,117","28,093","28,088","27,932","27,772"
".Portage County, Ohio","161,875","161,383","161,695","162,463","162,594","162,521","162,473","162,502","162,466"
".Preble County, Ohio","41,986","41,812","41,671","41,495","41,297","41,157","41,116","41,011","40,882"
".Putnam County, Ohio","34,385","34,207","34,123","34,198","34,026","34,007","33,860","33,802","33,861"
".Richland County, Ohio","123,144","122,633","122,314","121,999","121,688","121,242","120,430","120,987","121,154"
".Ross County, Ohio","77,581","77,341","77,283","77,095","77,049","76,848","77,295","76,884","76,666"
".Sandusky County, Ohio","60,609","60,467","60,049","59,827","59,475","59,317","59,093","58,740","58,518"
".Scioto County, Ohio","79,408","78,783","78,304","77,476","76,992","76,436","75,976","75,480","75,314"
".Seneca County, Ohio","56,522","56,106","55,847","55,803","55,650","55,467","55,267","55,194","55,178"
